Flow (gpm),Head 100% Speed (ft),Min Head (ft),MCSF (ft)
400.9536660938344,97.37369651774026,,
418.8426662296331,97.0655992417602,,
435.24227092437457,96.93587067126848,,
451.6413887528089,96.75126009628754,,
468.0406039545046,96.57762592220443,,
484.43952703641605,96.3710625454278,,
500.83893698463464,96.21938117314039,,
517.2379574398074,96.02379419726162,,
533.4715515430146,95.85501834034238,,
550.0360957234145,95.6435966464019,,
566.4349214320645,95.42605686872743,,
582.8337471407143,95.20851709105295,,
599.2326702226256,95.00195371427634,,
615.6313011847527,94.76246113480617,,
632.0297374003568,94.50101575354034,,
648.4281736159608,94.2395703722745,,
664.8265124583035,93.96714859011081,,
681.0589921786295,93.67275392291626,,
697.6228006499429,93.37839942219206,,
714.0208473725012,93.07304843733485,,
730.4187967217979,92.7567210515798,,
746.8164539513102,92.40746446313122,,
763.2142085540842,92.06918427558047,,
779.6113789172894,91.66504568264267,,
796.0087440270172,91.28285989150055,,
812.4060117634839,90.8896976994606,,
831.7840697797001,90.36518019487967,,
848.1812401429053,89.96104160194187,,
864.5781183863259,89.52397380631054,,
880.9744123901779,89.02104760529215,,
897.3709011405527,88.54007420606943,,
913.7669030246203,88.00421880235753,,
930.1627101621651,87.4464105968499,,
946.5585172997099,86.8886023913423,,
962.9539349442088,86.28688858224332,,
979.3494499619691,85.6961511740422,,
994.6268886766965,85.12311485546262,,
1012.1396036381367,84.41588874955934,,
1028.534242296544,83.72636373327761,,
1044.9285888351667,83.00390951430236,,
1061.3227406272667,82.25950249353141,,
1077.7166002995823,81.48216627006695,,
1094.1097783590676,80.62799524031756,,
1110.5026642987687,79.74089500787467,,
1126.8965239710842,78.9635587844102,,
1141.0542918956226,78.22848499075,,
1162.662501890667,76.99214460159638,,
1179.0549009640606,76.05016236466427,,
1195.4468131711471,75.05329812324293,,
1211.8385306317105,74.03448108002593,,
1228.2297612259667,72.96078203231967,,
1244.6206997004383,71.85415378191993,,
1261.0115408016488,70.73654913062231,,
1277.4019924098134,69.57503887573334,,
1293.7919571516707,68.35864661635513,,
1310.181106392463,67.05032699945751,,
1325.0809180751928,65.92690094858192,,
315.47800463513124,,57.32271160557292,
341.8236176608182,,57.131939926117525,
389.7209780019466,,56.36188437982267,
429.23337509611713,,55.396846820203166,
460.3659710384952,,54.81872442477592,
499.87836813266586,,53.85368686515642,
539.389044528448,,52.69468357969792,
580.0990477009856,,51.72979120400494,
600.4531889380602,,51.15036215323896,
639.9638653338424,,49.99135886778048,
668.6978077227095,,49.02501465282222,
702.2204537266564,,47.865285447731125,
728.5591839587892,,46.898650864919816,
763.2759946443263,,45.35113539207728,
792.0099370331933,,44.38479117711903,
827.9243537970974,,42.83742088820301,
853.0637572524748,,41.67667539562622,
886.5829618596449,,40.12901473885715,
920.1021664668148,,38.58135408208808,
957.2090272139204,,36.45223179958168,
997.9069854977389,,34.12957934301586,
311.89753202602355,,,58.71393674390818
319.3775106525052,,,61.54217842076051
325.36499249955216,,,64.19919043450487
331.35300989953726,,,66.91657265318737
337.34102729952224,,,69.63395487186988
343.3298480289144,,,72.44189239795959
349.31866875830644,,,75.2498299240493
355.3101672523886,,,78.35961847482969
361.3005946405947,,,81.3486666157338
367.29209313467686,,,84.4584551665142
373.28412718169704,,,87.62861392223274
379.27723233459324,,,90.91951308782755
385.26685639339223,,,93.81800592132447
391.383977754969,,,97.0827597272058
398.0044474712248,,,101.06396688139189
