Flow (gpm),Efficiency (%)
785.2397487833128,31.284985377599014
855.2889730204703,33.64758359202867
925.3381972576277,35.991161231590524
995.3874214947851,38.23585886137862
1065.4366457319425,40.4832544450487
1135.4858699691,42.58307195137577
1205.5350942062578,44.70609186108763
1275.5843184434152,46.66332250475324
1345.6335426805726,48.583321384847864
1415.68276691773,50.50021761797822
1485.7319911548875,52.31324262665325
1555.781215392045,53.93080087658049
1625.8304396292024,55.76932154944001
1695.8796638663598,57.372715541487
1765.9288881035172,58.98120866637085
1835.9781123406747,60.53701075194013
1906.027336577832,62.06580631915101
1976.0765608149895,63.372695179570854
2046.125785052147,64.75512674868561
2116.1750092893044,66.0299099579102
2186.224233526462,67.28486320610249
2256.2734577636193,68.6125287326541
2326.3226820007767,69.54752920874445
2396.371906237934,70.74068357497555
2466.4211304750916,71.86497716495954
2536.470354712249,72.90331844085418
2606.5195789494064,73.87690882358183
2676.568803186564,74.82874695313622
2746.6180274237217,75.77721264033816
2816.667251660879,76.63044055550702
2886.7164758980366,77.44063610625868
2956.765700135194,78.21967028967373
3026.8149243723515,78.97774137142598
3096.864148609509,79.60776756194053
3166.9133728466663,80.2111649476402
3236.9625970838238,80.7862338175793
3307.011821320981,81.25932003078044
3377.0610455581386,81.69274632191681
3447.110269795296,82.07801413626025
3517.1594940324535,82.39812636435444
3587.208718269611,82.79170387665432
3657.257942506769,83.15099039511449
3727.3071667439262,83.08820900828137
3797.3563909810837,83.05251507842308
3867.405615218241,83.00435660163015
3937.4548394553985,82.91937105434852
4007.504063692556,82.75223281136128
4077.5532879297134,82.51144042739664
4147.602512166871,82.18849534772639
4217.651736404028,81.79189612707873
4287.700960641186,81.31031135914942
4357.750184878343,80.74940674709059
4427.799409115501,80.10068373617405
4497.848633352658,79.34431236536746
4567.897857589815,78.50578829885526
4637.947081826973,77.55111731772477
4707.99630606413,76.50296223458457
4778.045530301288,75.36698875258664
4848.094754538445,74.11203550439438
4918.143978775603,72.71260682582334
4988.19320301276,71.23952400627488
5058.2424272499175,69.63329716265186
5128.291651487075,67.89959199810637
5198.340875724232,66.05540562209471
5268.39009996139,64.06391096412824
5304.761812546068,63.338700960658244
658.4234930448223,26.732394366197184
723.3384853168469,29.014084507042256
