flow,head,speed,pump_efficiency,total_efficiency,power
400.0,50.0,72.20692757174558,63.22028209427619,58.257489949875506,6.471136058727944
400.0,60.0,78.87981460734234,59.846866961189114,55.148887904735766,8.20307697714964
400.0,70.0,85.0370678186005,57.01344995196129,52.53789413073233,10.045872797157571
400.0,80.0,90.78019233319195,54.59569541439807,50.30993332436782,11.989430126253742
400.0,90.0,96.18165759820691,52.50323752424355,48.381733378590425,14.025662406928149
580.0,50.0,73.80008165702645,75.7862146621681,69.83699681118792,7.827349880766597
580.0,60.0,80.23311900630695,73.06578882965155,67.3301244065239,9.742538517160673
580.0,70.0,86.22410180178193,70.52285401343799,64.9868099733831,11.776144304388122
580.0,80.0,91.84739940670627,68.19336339395934,62.840184367533524,13.918192358342496
580.0,90.0,97.15986148555564,66.0725336441353,60.88583975307069,16.160563763006067
760.0,50.0,76.61973700541272,80.92686622977585,74.57410723073845,9.60501037182293
760.0,60.0,82.6242655017106,79.79299056646859,73.5292408070008,11.689799577299265
760.0,70.0,88.29684364781953,78.32610480599212,72.17750557872174,13.893512871475286
760.0,80.0,93.67726925039163,76.73270488266411,70.70918754937497,16.208022708121412
760.0,90.0,98.80027408293513,75.11749592463941,69.22077249455522,18.62610146771529
940.0,50.0,80.7819638829897,80.65124281365915,74.32012025278691,11.920480418557801
940.0,60.0,86.24089967904108,81.29025112462736,74.90896641134411,14.192130752091806
940.0,70.0,91.47934889059624,81.21757795642007,74.8419980868411,16.57230145045478
940.0,80.0,96.51010584707895,80.71291766702714,74.37695363016552,19.05819466784711
1120.0,50.0,86.14141349031036,77.3444564914999,71.27291665691715,14.810366299683219
1120.0,60.0,91.03303251147115,79.38450431020149,73.15282072185067,17.315717849612923
1120.0,70.0,95.7907776475266,80.57036113621334,74.24558778702058,19.904337054334402
